2025-07-03 16:44:05,Metric/Anonymization,MvM,Manual_Entity
2025-07-03 16:44:05,Precision,0.5582482257226934,0.6968372332219079
2025-07-03 16:44:16,Precision_IC,0.6241710769565796,0.7331418527917509
2025-07-03 16:44:16,Recall,0.5312408759124088,1.0
2025-07-03 16:44:16,RecallPerEntity,"{'CODE': 0.25416036308623297, 'ORG': 0.40340285400658615, 'DEM': 0.25333333333333335, 'PERSON': 0.7260579064587973, 'DATETIME': 0.5550445103857566, 'LOC': 0.6078028747433265, 'MISC': 0.28475336322869954, 'QUANTITY': 0.3368421052631579}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'ORG': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0}"
2025-07-03 16:44:40,TPI,0.830646698154126,0.7768832002594094
2025-07-03 16:45:18,TPS,0.8306466982844859,0.8477685005643713
2025-07-03 16:45:29,NMI,0.689191574100201,0.82605017683246
2025-07-03 16:45:32,TRIR,0.6929133858267718,0.84251968503937
2025-07-04 11:28:06,Metric/Anonymization,Clear,Presidio_Supression,Presidio_Entity,Manual_Entity
2025-07-04 11:28:10,Precision,0,0.7825887088758573,0.7825887088758573,0.6925964538719696
2025-07-04 11:31:24,Precision_IC,0,0.8105142138439866,0.8105142133625711,0.7327484732860706
2025-07-04 11:31:27,Recall,0.07612212575335449,0.7011567552310113,0.7011567552310113,1.0
2025-07-04 11:31:29,RecallPerEntity,"{'CODE': 0.006143838091796169, 'PERSON': 0.2384552327170052, 'DATETIME': 0.015607223725630972, 'DEM': 0.06977272727272728, 'LOC': 0.03660012099213551, 'MISC': 0.18698258635455323, 'QUANTITY': 0.019035709323329163, 'ORG': 0.07773841069461399}","{'CODE': 0.048608601373328515, 'PERSON': 0.8874518019248869, 'DATETIME': 0.9864030485447617, 'ORG': 0.17709232738857297, 'DEM': 0.36113636363636364, 'LOC': 0.7105263157894737, 'MISC': 0.2734798743933771, 'QUANTITY': 0.03154091982770599}","{'CODE': 0.048608601373328515, 'PERSON': 0.8874518019248869, 'DATETIME': 0.9864030485447617, 'ORG': 0.17709232738857297, 'DEM': 0.36113636363636364, 'LOC': 0.7105263157894737, 'MISC': 0.2734798743933771, 'QUANTITY': 0.03154091982770599}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0, 'ORG': 1.0}"
2025-07-04 11:36:53,TPI,1.0,0.8660258381916058,0.8660258381916058,0.7810999755054818
2025-07-04 11:46:22,TPS,1.0,0.8660258380703357,0.9216409581336367,0.851655514705604
2025-07-04 11:48:50,NMI,1.0,0.7697828922304923,0.7730429724200018,0.933802254944587
2025-07-04 11:48:50,_TRIR,,,,
2025-07-04 12:01:18,Metric/Anonymization,Presidio_Supression,Presidio_Entity,Presidio_GPT,Manual_Entity,Manual_Dou,Manual_INTACT
2025-07-04 12:01:25,Precision,0.7825887088758573,0.7825887088758573,0.6925964538719696,0.6925964538719696,0.6925964538719696,0.6925964538719696
2025-07-04 12:01:25,_Precision_IC,,,,,,
2025-07-04 12:01:28,Recall,0.7011567552310113,0.7011567552310113,1.0,1.0,1.0,1.0
2025-07-04 12:01:30,RecallPerEntity,"{'CODE': 0.048608601373328515, 'PERSON': 0.8874518019248869, 'DATETIME': 0.9864030485447617, 'ORG': 0.17709232738857297, 'DEM': 0.36113636363636364, 'LOC': 0.7105263157894737, 'MISC': 0.2734798743933771, 'QUANTITY': 0.03154091982770599}","{'CODE': 0.048608601373328515, 'PERSON': 0.8874518019248869, 'DATETIME': 0.9864030485447617, 'ORG': 0.17709232738857297, 'DEM': 0.36113636363636364, 'LOC': 0.7105263157894737, 'MISC': 0.2734798743933771, 'QUANTITY': 0.03154091982770599}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0, 'ORG': 1.0}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0, 'ORG': 1.0}","{'CODE': 1.0, 'ORG': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'LOC': 1.0, 'DEM': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0, 'ORG': 1.0}"
2025-07-04 12:07:16,TPI,0.8660258380703357,0.8660258380703357,0.7810999747994192,0.7810999747994192,0.7810999747994192,0.7810999747994192
2025-07-04 12:23:39,TPS,0.8660258380735584,0.9216410043443946,0.8569085416398876,0.8516555147124135,0.8885986526417711,0.8893176827695618
2025-07-04 12:27:02,NMI,0.7696778679012003,0.7732582857374473,0.0746504876467302,0.9377126788190191,0.9760743335261663,0.8798982005220036
2025-07-04 12:27:02,_TRIR,,,,,,
2025-07-04 12:43:52,Metric/Anonymization,St.NER3,St.NER4,St.NER7,spaCy,Presidio_Supression_Ildik�,Presidio_Entity_Ildik�,Presidio_Entity,Presidio_Transformers_Entity,MvM-gpt-3.5-turbo,Manual_Supression,Manual_Entity,Manual_Presidio_GPT,Manual_Dou,Manual_INTACT
2025-07-04 12:43:53,Precision,0.4020547154565393,0.3299436927472897,0.5324186343331206,0.4360350824134281,0.7951846695602326,0.7951846695602326,0.7700150426207588,0.6469055374592834,0.5582482257226934,0.6968372332219079,0.6968372332219079,0.6968372332219079,0.6968372332219079,0.6968372332219079
2025-07-04 12:44:49,Precision_IC,0.4969151074195364,0.4144206182435554,0.5856474136281694,0.5095917201008597,0.8223345550766767,0.8223345481749734,0.7999360464042452,0.6694886648586474,0.6241710821472602,0.733141815671611,0.7331418179420882,0.7331418201918244,0.7331418119792467,0.7331418175731622
2025-07-04 12:44:49,Recall,0.3360583941605839,0.36627737226277374,0.6645985401459854,0.9177372262773723,0.7457664233576642,0.7457664233576642,0.7442335766423358,0.23131386861313868,0.5312408759124088,1.0,1.0,1.0,1.0,1.0
2025-07-04 12:44:50,RecallPerEntity,"{'CODE': 0.006051437216338881, 'PERSON': 0.892724573125464, 'DATETIME': 0.01884272997032641, 'ORG': 0.8090010976948409, 'DEM': 0.152, 'LOC': 0.8583162217659137, 'MISC': 0.24663677130044842, 'QUANTITY': 0.018947368421052633}","{'CODE': 0.007564296520423601, 'PERSON': 0.9305864884929473, 'DATETIME': 0.01913946587537092, 'ORG': 0.8726673984632273, 'DEM': 0.3413333333333333, 'LOC': 0.919917864476386, 'MISC': 0.4080717488789238, 'QUANTITY': 0.061052631578947365}","{'CODE': 0.01059001512859304, 'PERSON': 0.9146250927988122, 'DATETIME': 0.6746290801186944, 'ORG': 0.8161361141602634, 'DEM': 0.13866666666666666, 'LOC': 0.8316221765913757, 'MISC': 0.26681614349775784, 'QUANTITY': 0.05052631578947368}","{'CODE': 0.8668683812405447, 'PERSON': 0.9268745360059392, 'DATETIME': 0.9959940652818992, 'ORG': 0.8869374313940724, 'DEM': 0.5573333333333333, 'LOC': 0.8850102669404517, 'MISC': 0.47085201793721976, 'QUANTITY': 0.6821052631578948}","{'CODE': 0.057488653555219364, 'PERSON': 0.9253897550111359, 'DATETIME': 0.9890207715133531, 'ORG': 0.19154774972557628, 'DEM': 0.49066666666666664, 'LOC': 0.7679671457905544, 'MISC': 0.2242152466367713, 'QUANTITY': 0.02736842105263158}","{'CODE': 0.057488653555219364, 'PERSON': 0.9253897550111359, 'DATETIME': 0.9890207715133531, 'ORG': 0.19154774972557628, 'DEM': 0.49066666666666664, 'LOC': 0.7679671457905544, 'MISC': 0.2242152466367713, 'QUANTITY': 0.02736842105263158}","{'CODE': 0.09228441754916793, 'PERSON': 0.9094283593170007, 'DATETIME': 0.9922848664688427, 'ORG': 0.17233809001097694, 'DEM': 0.5093333333333333, 'LOC': 0.7392197125256673, 'MISC': 0.2556053811659193, 'QUANTITY': 0.037894736842105266}","{'CODE': 0.009077155824508321, 'PERSON': 0.7850779510022272, 'DATETIME': 0.01884272997032641, 'ORG': 0.2074643249176729, 'DEM': 0.12, 'LOC': 0.8316221765913757, 'MISC': 0.1905829596412556, 'QUANTITY': 0.016842105263157894}","{'CODE': 0.25416036308623297, 'ORG': 0.40340285400658615, 'DEM': 0.25333333333333335, 'PERSON': 0.7260579064587973, 'DATETIME': 0.5550445103857566, 'LOC': 0.6078028747433265, 'MISC': 0.28475336322869954, 'QUANTITY': 0.3368421052631579}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'ORG': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'ORG': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'ORG': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'ORG': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0}","{'CODE': 1.0, 'PERSON': 1.0, 'DATETIME': 1.0, 'ORG': 1.0, 'DEM': 1.0, 'LOC': 1.0, 'MISC': 1.0, 'QUANTITY': 1.0}"
2025-07-04 12:45:17,TPI,0.8822565603290219,0.8367138376284856,0.7937992188704389,0.7320522684565175,0.8607526842884949,0.8607526842884949,0.8614863540482178,0.9437955208961246,0.8306467301339853,0.7768832294419067,0.7768832294419067,0.7768832294419067,0.7768832294419067,0.7768832294419067
2025-07-04 12:47:48,TPS,0.9150389663351599,0.8825777450988174,0.8705881809529987,0.8264387253490403,0.8607526817114517,0.9179218625203354,0.9177204180008244,0.9616759940769865,0.8306467295773118,0.7768832276065215,0.8477685212208773,0.857608496714385,0.8840374308992122,0.8846340463396721
2025-07-04 12:48:29,NMI,0.8420285077789904,0.475098764646964,0.7853018360689645,0.4563016647050785,0.802924335921021,0.8346404108311265,0.8152066221676924,0.8111884589431815,0.6852576396108175,0.8621121202663324,0.8286548974877868,0.37971260282136476,0.8548344380314422,0.8077158534103903
2025-07-04 12:55:57,TRIR,0.7952755905511811,0.8031496062992126,0.8346456692913385,0.9606299212598425,0.7007874015748031,0.7952755905511811,0.7952755905511811,0.7637795275590551,0.6771653543307088,0.6062992125984252,0.6692913385826772,0.7716535433070866,0.6850393700787402,0.6377952755905512
2025-07-04 12:55:57,_TRIR,,,,,,,,,,,,,,
